AbsMax nm,smiles,element_composition,data_set,structure_id
345.0,B1C=Cc2c(ccc3ccccc23)N1,BCN,train,0_structure
357.0,B1C=Cc2cc3c(cc2N1)C=CBN3,BCN,train,1_structure
359.0,B1C=Cc2cc3ccccc3cc2N1,BCN,train,2_structure
352.0,B1C=Cc2ccc3ccccc3c2N1,BCN,train,3_structure
316.0,B1Nc2cccc3c2-n2c1ccc2BN3,BCN,train,4_structure
326.0,B1Nc2ccccc2-c2ccccc21,BCN,test,5_structure
615.0,Br.C.CCC1=[N+]2C(=C3c4cc(I)c(CC)n4[B-](F)(F)[n+]4c3n(c3ccccc34)[B-]2(F)F)C=C1,BBrCFIN,train,6_structure
321.0,BrC1=CC=CN2B1C=Cc1c2ccc2ccccc12,BBrCN,train,7_structure
479.0,Brc1ccc(-[n+]2nc3c(-c4ccccc4)cc(Br)cc3c3ccccc32)cc1,BrCN,train,8_structure
289.0,Brc1ccc(-c2nnc3ccccn23)cc1,BrCN,train,9_structure
501.0,Brc1ccc(C2=C(c3ccc(Br)cc3)c3ccc4c5c(ccc(c35)O2)OC(c2ccc(Br)cc2)=C4c2ccc(Br)cc2)cc1,BrCO,train,10_structure
347.0,Brc1ccc(C=CN(c2ccccc2)c2ccccc2)cc1,BrCN,test,11_structure
420.0,Brc1ccc2c(c1)C=C1B(N2)OB2Nc3ccc(Br)cc3C=C2C(c2ccccc2)=C1c1ccccc1,BBrCNO,train,12_structure
412.57142857142856,C#CC(=O)c1ccc2c(c1)C(C)(C)c1cc(N(C)C)ccc1-2,CNO,train,13_structure
521.0,C#CC(O)C#CCCCCCCCCCCc1cn(CC2=C3C(C)=CC(C)=[N+]3[B-](F)(F)n3c(C)cc(C)c32)nn1,BCFNO,test,14_structure
550.0,C#CC1=C(C)C(C)=[N+]2C1=Cc1cc(C)c(C)n1[B-]2(F)F,BCFN,train,15_structure
530.625,C#CC1=C(C)C2=C(C)c3c(C)c(C#C)c(C)n3[B-](F)(F)[N+]2=C1C,BCFN,train,16_structure
540.0,C#CC1=C(C)C2=C(c3cc(OCCCCCCCCCCCC)c(OCCCCCCCCCCCC)c(OCCCCCCCCCCCC)c3)c3c(C)c(C#C)c(C)n3[B-](F)(F)[N+]2=C1C,BCFNO,train,17_structure
537.5,C#CC1=C(C)C2=C(c3ccc(OCC(COCCOCCOCCOC)COCCOCCOCCOC)c(OCC(COCCOCCOCCOC)COCCOCCOCCOC)c3)c3c(C)c(C#C)c(C)n3[B-](F)(F)[N+]2=C1C,BCFNO,train,18_structure
539.0,C#CC1=C(C)C2=C(c3ccc(OCCCC(=O)OCC)c(OCCCC(=O)OCC)c3)c3c(C)c(C#C)c(C)n3[B-](F)(F)[N+]2=C1C,BCFNO,train,19_structure
538.0,C#CC1=C(C)C2=C(c3ccc(OCCCC(=O)OCC)cc3)c3c(C)c(C#C)c(C)n3[B-](F)(F)[N+]2=C1C,BCFNO,train,20_structure
540.0,C#CC1=C(C)C2=C(c3ccc(OCCCCCCCCCCCC)c(OCCCCCCCCCCCC)c3)c3c(C)c(C#C)c(C)n3[B-](F)(F)[N+]2=C1C,BCFNO,train,21_structure
539.0,C#CC1=C(C)C2=C(c3ccc(OCCCCCCCCCCCC)cc3)c3c(C)c(C#C)c(C)n3[B-](F)(F)[N+]2=C1C,BCFNO,train,22_structure
543.0,C#CC1=C(C)C2=C(c3ccccc3)c3c(C)c(C#C)c(C)n3[B-](F)(F)[N+]2=C1C,BCFN,train,23_structure
648.0,C#CC1=C(C)C2=C(c3ccccc3)c3c(C)c(C#C)c(C=Cc4ccccc4)n3[B-](F)(F)[N+]2=C1C=Cc1ccccc1,BCFN,train,24_structure
519.25,C#CC1=C(C)C2=C(c3ccccc3)c3c(C)cc(C)n3[B-](F)(F)[N+]2=C1C,BCFN,train,25_structure
539.5,C#CC1=C(C)C2=C(c3ccccc3CO)c3c(C)c(C#C)c(C)n3[B-](F)(F)[N+]2=C1C,BCFNO,train,26_structure
538.0,C#CC1=C(C)C2=C(c3ccccc3OCCCCCCCC)c3c(C)c(C#C)c(C)n3[B-](F)(F)[N+]2=C1C,BCFNO,valid,27_structure
534.0,C#CC1=C(C)C2=Cc3c(C)c(CC)c(C)n3[B-](F)(F)[N+]2=C1C,BCFN,train,28_structure
577.3333333333334,C#CC1=C2C(C)=C(CC)C(C)=[N+]2[B-](F)(F)n2c(C)c(CC)c(C)c21,BCFN,train,29_structure
781.0,C#CC1=C2C(C)=C(CC)C(C=Cc3ccc(N(c4ccc(OC)cc4)c4ccc(OC)cc4)cc3)=[N+]2[B-](F)(F)n2c(C=Cc3ccc(N(c4ccc(OC)cc4)c4ccc(OC)cc4)cc3)c(CC)c(C)c21,BCFNO,train,30_structure
542.0,C#CC1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,BCFN,valid,31_structure
540.0,C#CC1=C2C=CC(C)=[N+]2[B-](F)(F)n2c(C)ccc21,BCFN,train,32_structure
530.0,C#CC1=CC2=C(c3c(C)cc(C)cc3C)c3cccn3[B-](F)(F)[N+]2=C1,BCFN,train,33_structure
481.0,C#CC1=CN2C(=N[N+](=Cc3ccc(-c4cccs4)cc3)[B-]2(F)F)C=C1,BCFNS,test,34_structure
551.0,C#CC1=[N+]2C(=C(c3ccc(C)cc3)c3ccc(C#C)n3[B-]2(F)F)C=C1,BCFN,test,35_structure
503.0,C#CCCC(=O)c1c(C)c2n(c1C)[B-](F)(F)[N+]1=C(C)C=C(C)C1=C2,BCFNO,test,36_structure
524.0,C#CCCCC1=[N+]2C(=C(c3c(Cl)cccc3Cl)c3ccc(CCCC#C)n3[B-]2(F)F)C=C1,BCClFN,train,37_structure
497.0,C#CCCCCC1=C2C(C)=CC(C)=[N+]2[B-](F)(F)n2c(C)cc(C)c21,BCFN,valid,38_structure
516.0,C#CCCCc1ccc2n1[B-](F)(F)[N+]1=CC=CC1=C2c1c(Cl)cccc1Cl,BCClFN,train,39_structure
500.0,C#CCN(C(=O)C(Cl)Cl)C(C(=O)NC(C)(C)C)c1ccc(C2=C3C=CC=[N+]3[B-](F)(F)n3cccc32)cc1,BCClFNO,train,40_structure
499.75,C#CCN(C(=O)CC#N)C(C(=O)NC(C)(C)C)c1ccc(C2=C3C=CC=[N+]3[B-](F)(F)n3cccc32)cc1,BCFNO,train,41_structure
506.25,C#CCN(C(=O)CCl)C(C(=O)NC(C)(C)C)c1c(F)ccc(C2=C3C=CC=[N+]3[B-](F)(F)n3cccc32)c1F,BCClFNO,valid,42_structure
